"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","disc_number","duration_ms","track_number"
"128",2017,0.232,0.483,5,-9.393,0,0.0389,0.91,0.905,0.126,0.0688,110.9,3,1,299640,2
"129",2017,0.297,0.378,2,-9.618,1,0.0363,0.955,0.913,0.215,0.15,103.461,3,1,26560,3
"130",2017,0.512,0.757,1,-13.264,1,0.0671,0.0816,0.823,0.124,0.139,172.027,4,1,128613,4
"131",2017,0.505,0.375,9,-14.906,1,0.0404,0.376,0.383,0.187,0.294,91.046,4,1,160080,5
"132",2017,0.406,0.244,0,-12.308,1,0.0397,0.0241,0.317,0.174,0.0672,55.24,4,1,58773,6
"133",2017,0.684,0.51,11,-10.113,0,0.0276,0.0347,0.26,0.357,0.809,140.001,4,1,105960,7
"134",2017,0.529,0.262,10,-16.739,1,0.0531,0.415,0.179,0.335,0.252,90.959,4,1,155040,8
"135",2017,0.378,0.991,8,-10.163,1,0.0692,0.292,0.809,0.379,0.734,169.722,3,1,85573,9
"136",2017,0.702,0.498,2,-10.779,0,0.168,0.111,0.536,0.112,0.135,89.994,4,1,117626,10
"137",2017,0.672,0.639,6,-12.249,1,0.199,0.000209,0.886,0.106,0.888,192.014,4,1,100306,11
"138",2017,0.505,0.772,0,-15.15,1,0.101,0.916,0.611,0.119,0.561,101.428,3,1,44893,12
"139",2017,0.5,0.493,1,-13.37,1,0.167,0.435,0.926,0.165,0.0845,170.018,4,1,208853,13
"140",2017,0.707,0.717,7,-10.254,0,0.0496,0.308,0.819,0.139,0.0996,120.007,4,1,185026,14
"141",2017,0.418,0.337,10,-17.765,0,0.0368,0.983,0.779,0.389,0.343,92.829,1,1,97746,15
"142",2017,0.242,0.55,1,-11.836,1,0.0827,0.277,0.847,0.229,0.103,169.895,4,1,253920,16
"143",2017,0.484,0.894,1,-10.966,1,0.0356,1.35e-05,0.933,0.0843,0.0615,90.012,4,1,214360,17
"144",2016,0.691,0.486,11,-8.452,0,0.0357,0.0117,0.866,0.109,0.231,131.977,4,1,189946,1
"145",2016,0.76,0.739,11,-7.129,0,0.0357,0.00374,0.938,0.857,0.858,128.018,4,1,227386,2
"146",2016,0.867,0.741,6,-5.018,1,0.0503,0.0673,0.088,0.309,0.844,82.036,4,1,120520,3
"147",2016,0.779,0.543,7,-7.827,1,0.197,0.0897,0.916,0.082,0.774,168.016,4,1,212306,4
"148",2016,0.627,0.713,4,-6.41,0,0.0686,0.00195,0.28,0.248,0.234,170.028,4,1,187173,5
"149",2016,0.393,0.69,6,-8.3,0,0.037,0.00103,0.856,0.78,0.745,103.645,3,1,229466,6
"150",2016,0.497,0.734,7,-9.347,0,0.0375,0.0315,0.884,0.142,0.359,196.013,4,1,266106,7
"151",2016,0.786,0.36,11,-13.076,0,0.0523,0.0935,0.74,0.35,0.352,122.013,4,1,114093,8
"152",2016,0.598,0.557,6,-7.003,0,0.0423,0.00434,0.848,0.153,0.371,81.958,4,1,188480,9
"153",2016,0.597,0.821,6,-7.605,0,0.0985,0.00506,0.678,0.0809,0.364,177.948,4,1,167533,10
"154",2016,0.852,0.651,11,-7.573,1,0.103,0.005,0.773,0.0748,0.843,90.034,4,1,230546,11
"155",2016,0.748,0.453,6,-7.086,1,0.0568,0.00794,0.883,0.091,0.578,96.032,4,1,164693,12
"156",2016,0.622,0.624,6,-7.225,1,0.0374,0.00352,0.895,0.108,0.371,80.014,4,1,187746,13
"157",2016,0.567,0.511,1,-8.922,1,0.028,0.000382,0.778,0.122,0.272,176.038,4,1,231413,14
"158",2016,0.624,0.715,1,-6.867,0,0.0442,0.00592,0.884,0.0633,0.796,90.008,4,1,202333,15
"159",2016,0.755,0.738,2,-6.561,1,0.0748,0.127,0,0.108,0.729,132.021,4,1,188973,1
"160",2016,0.807,0.853,1,-5.404,1,0.0988,0.0476,0.000895,0.767,0.775,127.935,4,1,227386,2
"161",2016,0.726,0.877,1,-3.883,1,0.164,0.106,0,0.688,0.955,81.912,4,1,118946,3
"162",2016,0.673,0.838,7,-5.922,1,0.314,0.203,8.86e-06,0.105,0.872,168.117,4,1,212906,4
"163",2016,0.472,0.846,11,-4.928,0,0.274,0.014,0.000124,0.16,0.402,170.383,4,1,185506,5
"164",2016,0.587,0.782,2,-6.399,1,0.116,0.00935,0.000811,0.716,0.714,95.961,4,1,230600,6
"165",2016,0.562,0.817,7,-6.693,0,0.114,0.104,2.61e-05,0.144,0.562,97.688,4,1,265333,7
"166",2016,0.765,0.601,11,-8.072,0,0.0826,0.0425,0,0.317,0.56,121.772,4,1,113186,8
"167",2016,0.628,0.783,6,-5.476,0,0.262,0.00435,0.00237,0.0955,0.364,81.882,4,1,188613,9
"168",2016,0.638,0.741,1,-6.012,0,0.292,0.0343,0,0.0761,0.702,178.12,4,1,166906,10
"169",2016,0.508,0.884,1,-5.701,1,0.292,0.0482,0,0.0751,0.842,90.011,4,1,231173,11
"170",2016,0.668,0.838,6,-5.417,1,0.195,0.01,0,0.357,0.835,96.112,4,1,164853,12
"171",2016,0.51,0.859,1,-5.885,0,0.202,0.0233,6.9e-05,0.064,0.896,111.1,3,1,191186,13
"172",2016,0.507,0.763,1,-6.584,1,0.241,0.0262,0.000564,0.18,0.642,86.495,4,1,230866,14
"173",2016,0.52,0.934,1,-5.112,0,0.278,0.066,1.89e-06,0.0783,0.691,89.95,4,1,202720,15
"174",2012,0.525,0.766,10,-7.846,0,0.0772,0.00787,0.734,0.195,0.541,194.082,4,1,284960,1
"175",2012,0.538,0.793,1,-8.333,1,0.114,0.000162,0.769,0.155,0.389,71.868,4,1,253533,2
"176",2012,0.536,0.459,6,-10.426,1,0.0303,0.0216,0.889,0.294,0.0389,172.052,4,1,242106,3
"177",2012,0.807,0.855,8,-9.231,1,0.0739,0.15,0.763,0.271,0.65,106.017,4,1,201240,4
"178",2012,0.601,0.617,11,-8.156,0,0.0724,0.144,0.907,0.148,0.285,175.896,4,1,209560,5
"179",2012,0.395,0.251,11,-17.754,0,0.0367,0.908,0.947,0.0727,0.126,151.98,3,1,153746,6
"180",2012,0.674,0.558,9,-10.545,1,0.0767,0.21,0.865,0.367,0.332,152.107,4,1,260398,7
"181",2012,0.549,0.468,1,-12.179,1,0.112,0.000354,0.623,0.112,0.618,192.088,4,1,147506,8
"182",2012,0.708,0.779,10,-11.325,0,0.0813,0.229,0.88,0.186,0.779,105.023,4,1,204560,9
"183",2012,0.496,0.557,0,-10.403,1,0.043,0.0511,0.801,0.0597,0.444,134.878,3,1,239240,10
"184",2012,0.609,0.72,1,-6.769,0,0.0483,8.91e-05,0.592,0.214,0.418,83.995,4,1,164640,11
"185",2012,0.772,0.796,6,-9.489,1,0.48,0.0122,0.748,0.0758,0.558,172.09,4,1,214773,12
"186",2012,0.693,0.897,9,-9.661,1,0.0929,0.000275,0.814,0.642,0.406,124.984,4,1,219973,13
"187",2012,0.42,0.513,6,-9.325,0,0.0999,0.0115,0.832,0.0761,0.436,85.865,4,1,280013,14
"188",2012,0.747,0.711,0,-8.619,1,0.0457,0.0398,0.844,0.0927,0.365,119.959,5,1,234066,15
"189",2012,0.562,0.892,10,-5.964,0,0.133,0.0138,0.0492,0.342,0.54,96.838,4,1,283813,1
"190",2012,0.537,0.881,0,-6.733,1,0.297,0.00204,0.00606,0.179,0.683,143.268,4,1,255453,2
"191",2012,0.497,0.68,1,-8.326,1,0.326,0.0391,6.08e-05,0.237,0.41,84.304,4,1,240773,3
"192",2012,0.827,0.897,8,-7.408,1,0.211,0.0636,7.9e-05,0.26,0.722,106.024,4,1,201386,4
"193",2012,0.626,0.823,6,-7.268,0,0.189,0.193,0.0628,0.235,0.705,86.572,4,1,208826,5
"194",2012,0.437,0.427,1,-12.271,0,0.0885,0.853,0.0169,0.0779,0.372,76.723,4,1,153746,6
"195",2012,0.459,0.752,11,-8.595,0,0.306,0.0887,0,0.351,0.733,77.397,4,1,259532,7
"196",2012,0.436,0.711,1,-8.66,1,0.373,0.00422,0,0.133,0.707,94.977,4,1,150160,8
"197",2012,0.736,0.846,11,-8.603,1,0.353,0.236,5.8e-05,0.204,0.738,104.961,4,1,203466,9
"198",2012,0.503,0.75,2,-7.531,1,0.321,0.0104,0.00132,0.074,0.659,131.612,3,1,238546,10
"199",2012,0.492,0.888,1,-5.936,0,0.321,0.00418,0,0.0981,0.66,81.18,4,1,166013,11
